source,target,season,team
Dennis Rodman,Dickey Simpkins,1996-97,CHI
Dennis Rodman,Jason Caffey,1996-97,CHI
Dennis Rodman,Bill Wennington,1996-97,CHI
Dennis Rodman,Bison Dele,1996-97,CHI
Dennis Rodman,Scottie Pippen,1996-97,CHI
Dennis Rodman,Ron Harper,1996-97,CHI
Dennis Rodman,Randy Brown,1996-97,CHI
Dennis Rodman,Robert Parish,1996-97,CHI
Dennis Rodman,Steve Kerr,1996-97,CHI
Dennis Rodman,Toni Kukoc,1996-97,CHI
Dennis Rodman,Jud Buechler,1996-97,CHI
Dennis Rodman,Michael Jordan,1996-97,CHI
Dennis Rodman,Matt Steigenga,1996-97,CHI
Dennis Rodman,Luc Longley,1996-97,CHI
Dickey Simpkins,Jason Caffey,1996-97,CHI
Dickey Simpkins,Bill Wennington,1996-97,CHI
Dickey Simpkins,Bison Dele,1996-97,CHI
Dickey Simpkins,Scottie Pippen,1996-97,CHI
Dickey Simpkins,Ron Harper,1996-97,CHI
Dickey Simpkins,Randy Brown,1996-97,CHI
Dickey Simpkins,Robert Parish,1996-97,CHI
Dickey Simpkins,Steve Kerr,1996-97,CHI
Dickey Simpkins,Toni Kukoc,1996-97,CHI
Dickey Simpkins,Jud Buechler,1996-97,CHI
Dickey Simpkins,Michael Jordan,1996-97,CHI
Dickey Simpkins,Matt Steigenga,1996-97,CHI
Dickey Simpkins,Luc Longley,1996-97,CHI
Jason Caffey,Bill Wennington,1996-97,CHI
Jason Caffey,Bison Dele,1996-97,CHI
Jason Caffey,Scottie Pippen,1996-97,CHI
Jason Caffey,Ron Harper,1996-97,CHI
Jason Caffey,Randy Brown,1996-97,CHI
Jason Caffey,Robert Parish,1996-97,CHI
Jason Caffey,Steve Kerr,1996-97,CHI
Jason Caffey,Toni Kukoc,1996-97,CHI
Jason Caffey,Jud Buechler,1996-97,CHI
Jason Caffey,Michael Jordan,1996-97,CHI
Jason Caffey,Matt Steigenga,1996-97,CHI
Jason Caffey,Luc Longley,1996-97,CHI
Bill Wennington,Bison Dele,1996-97,CHI
Bill Wennington,Scottie Pippen,1996-97,CHI
Bill Wennington,Ron Harper,1996-97,CHI
Bill Wennington,Randy Brown,1996-97,CHI
Bill Wennington,Robert Parish,1996-97,CHI
Bill Wennington,Steve Kerr,1996-97,CHI
Bill Wennington,Toni Kukoc,1996-97,CHI
Bill Wennington,Jud Buechler,1996-97,CHI
Bill Wennington,Michael Jordan,1996-97,CHI
Bill Wennington,Matt Steigenga,1996-97,CHI
Bill Wennington,Luc Longley,1996-97,CHI
Bison Dele,Scottie Pippen,1996-97,CHI
Bison Dele,Ron Harper,1996-97,CHI
Bison Dele,Randy Brown,1996-97,CHI
Bison Dele,Robert Parish,1996-97,CHI
Bison Dele,Steve Kerr,1996-97,CHI
Bison Dele,Toni Kukoc,1996-97,CHI
Bison Dele,Jud Buechler,1996-97,CHI
Bison Dele,Michael Jordan,1996-97,CHI
Bison Dele,Matt Steigenga,1996-97,CHI
Bison Dele,Luc Longley,1996-97,CHI
Scottie Pippen,Ron Harper,1996-97,CHI
Scottie Pippen,Randy Brown,1996-97,CHI
Scottie Pippen,Robert Parish,1996-97,CHI
Scottie Pippen,Steve Kerr,1996-97,CHI
Scottie Pippen,Toni Kukoc,1996-97,CHI
Scottie Pippen,Jud Buechler,1996-97,CHI
Scottie Pippen,Michael Jordan,1996-97,CHI
Scottie Pippen,Matt Steigenga,1996-97,CHI
Scottie Pippen,Luc Longley,1996-97,CHI
Ron Harper,Randy Brown,1996-97,CHI
Ron Harper,Robert Parish,1996-97,CHI
Ron Harper,Steve Kerr,1996-97,CHI
Ron Harper,Toni Kukoc,1996-97,CHI
Ron Harper,Jud Buechler,1996-97,CHI
Ron Harper,Michael Jordan,1996-97,CHI
Ron Harper,Matt Steigenga,1996-97,CHI
Ron Harper,Luc Longley,1996-97,CHI
Randy Brown,Robert Parish,1996-97,CHI
Randy Brown,Steve Kerr,1996-97,CHI
Randy Brown,Toni Kukoc,1996-97,CHI
Randy Brown,Jud Buechler,1996-97,CHI
Randy Brown,Michael Jordan,1996-97,CHI
Randy Brown,Matt Steigenga,1996-97,CHI
Randy Brown,Luc Longley,1996-97,CHI
Robert Parish,Steve Kerr,1996-97,CHI
Robert Parish,Toni Kukoc,1996-97,CHI
Robert Parish,Jud Buechler,1996-97,CHI
Robert Parish,Michael Jordan,1996-97,CHI
Robert Parish,Matt Steigenga,1996-97,CHI
Robert Parish,Luc Longley,1996-97,CHI
Steve Kerr,Toni Kukoc,1996-97,CHI
Steve Kerr,Jud Buechler,1996-97,CHI
Steve Kerr,Michael Jordan,1996-97,CHI
Steve Kerr,Matt Steigenga,1996-97,CHI
Steve Kerr,Luc Longley,1996-97,CHI
Toni Kukoc,Jud Buechler,1996-97,CHI
Toni Kukoc,Michael Jordan,1996-97,CHI
Toni Kukoc,Matt Steigenga,1996-97,CHI
Toni Kukoc,Luc Longley,1996-97,CHI
Jud Buechler,Michael Jordan,1996-97,CHI
Jud Buechler,Matt Steigenga,1996-97,CHI
Jud Buechler,Luc Longley,1996-97,CHI
Michael Jordan,Matt Steigenga,1996-97,CHI
Michael Jordan,Luc Longley,1996-97,CHI
Matt Steigenga,Luc Longley,1996-97,CHI
Randy Brown,Michael Jordan,1997-98,CHI
Randy Brown,Luc Longley,1997-98,CHI
Randy Brown,Jud Buechler,1997-98,CHI
Randy Brown,Joe Kleine,1997-98,CHI
Randy Brown,Keith Booth,1997-98,CHI
Randy Brown,Toni Kukoc,1997-98,CHI
Randy Brown,Rusty LaRue,1997-98,CHI
Randy Brown,Ron Harper,1997-98,CHI
Randy Brown,Steve Kerr,1997-98,CHI
Randy Brown,Scottie Pippen,1997-98,CHI
Randy Brown,Scott Burrell,1997-98,CHI
Randy Brown,Dickey Simpkins,1997-98,CHI
Randy Brown,Dennis Rodman,1997-98,CHI
Randy Brown,Bill Wennington,1997-98,CHI
Michael Jordan,Luc Longley,1997-98,CHI
Michael Jordan,Jud Buechler,1997-98,CHI
Michael Jordan,Joe Kleine,1997-98,CHI
Michael Jordan,Keith Booth,1997-98,CHI
Michael Jordan,Toni Kukoc,1997-98,CHI
Michael Jordan,Rusty LaRue,1997-98,CHI
Michael Jordan,Ron Harper,1997-98,CHI
Michael Jordan,Steve Kerr,1997-98,CHI
Michael Jordan,Scottie Pippen,1997-98,CHI
Michael Jordan,Scott Burrell,1997-98,CHI
Michael Jordan,Dickey Simpkins,1997-98,CHI
Michael Jordan,Dennis Rodman,1997-98,CHI
Michael Jordan,Bill Wennington,1997-98,CHI
Luc Longley,Jud Buechler,1997-98,CHI
Luc Longley,Joe Kleine,1997-98,CHI
Luc Longley,Keith Booth,1997-98,CHI
Luc Longley,Toni Kukoc,1997-98,CHI
Luc Longley,Rusty LaRue,1997-98,CHI
Luc Longley,Ron Harper,1997-98,CHI
Luc Longley,Steve Kerr,1997-98,CHI
Luc Longley,Scottie Pippen,1997-98,CHI
Luc Longley,Scott Burrell,1997-98,CHI
Luc Longley,Dickey Simpkins,1997-98,CHI
Luc Longley,Dennis Rodman,1997-98,CHI
Luc Longley,Bill Wennington,1997-98,CHI
Jud Buechler,Joe Kleine,1997-98,CHI
Jud Buechler,Keith Booth,1997-98,CHI
Jud Buechler,Toni Kukoc,1997-98,CHI
Jud Buechler,Rusty LaRue,1997-98,CHI
Jud Buechler,Ron Harper,1997-98,CHI
Jud Buechler,Steve Kerr,1997-98,CHI
Jud Buechler,Scottie Pippen,1997-98,CHI
Jud Buechler,Scott Burrell,1997-98,CHI
Jud Buechler,Dickey Simpkins,1997-98,CHI
Jud Buechler,Dennis Rodman,1997-98,CHI
Jud Buechler,Bill Wennington,1997-98,CHI
Joe Kleine,Keith Booth,1997-98,CHI
Joe Kleine,Toni Kukoc,1997-98,CHI
Joe Kleine,Rusty LaRue,1997-98,CHI
Joe Kleine,Ron Harper,1997-98,CHI
Joe Kleine,Steve Kerr,1997-98,CHI
Joe Kleine,Scottie Pippen,1997-98,CHI
Joe Kleine,Scott Burrell,1997-98,CHI
Joe Kleine,Dickey Simpkins,1997-98,CHI
Joe Kleine,Dennis Rodman,1997-98,CHI
Joe Kleine,Bill Wennington,1997-98,CHI
Keith Booth,Toni Kukoc,1997-98,CHI
Keith Booth,Rusty LaRue,1997-98,CHI
Keith Booth,Ron Harper,1997-98,CHI
Keith Booth,Steve Kerr,1997-98,CHI
Keith Booth,Scottie Pippen,1997-98,CHI
Keith Booth,Scott Burrell,1997-98,CHI
Keith Booth,Dickey Simpkins,1997-98,CHI
Keith Booth,Dennis Rodman,1997-98,CHI
Keith Booth,Bill Wennington,1997-98,CHI
Toni Kukoc,Rusty LaRue,1997-98,CHI
Toni Kukoc,Ron Harper,1997-98,CHI
Toni Kukoc,Steve Kerr,1997-98,CHI
Toni Kukoc,Scottie Pippen,1997-98,CHI
Toni Kukoc,Scott Burrell,1997-98,CHI
Toni Kukoc,Dickey Simpkins,1997-98,CHI
Toni Kukoc,Dennis Rodman,1997-98,CHI
Toni Kukoc,Bill Wennington,1997-98,CHI
Rusty LaRue,Ron Harper,1997-98,CHI
Rusty LaRue,Steve Kerr,1997-98,CHI
Rusty LaRue,Scottie Pippen,1997-98,CHI
Rusty LaRue,Scott Burrell,1997-98,CHI
Rusty LaRue,Dickey Simpkins,1997-98,CHI
Rusty LaRue,Dennis Rodman,1997-98,CHI
Rusty LaRue,Bill Wennington,1997-98,CHI
Ron Harper,Steve Kerr,1997-98,CHI
Ron Harper,Scottie Pippen,1997-98,CHI
Ron Harper,Scott Burrell,1997-98,CHI
Ron Harper,Dickey Simpkins,1997-98,CHI
Ron Harper,Dennis Rodman,1997-98,CHI
Ron Harper,Bill Wennington,1997-98,CHI
Steve Kerr,Scottie Pippen,1997-98,CHI
Steve Kerr,Scott Burrell,1997-98,CHI
Steve Kerr,Dickey Simpkins,1997-98,CHI
Steve Kerr,Dennis Rodman,1997-98,CHI
Steve Kerr,Bill Wennington,1997-98,CHI
Scottie Pippen,Scott Burrell,1997-98,CHI
Scottie Pippen,Dickey Simpkins,1997-98,CHI
Scottie Pippen,Dennis Rodman,1997-98,CHI
Scottie Pippen,Bill Wennington,1997-98,CHI
Scott Burrell,Dickey Simpkins,1997-98,CHI
Scott Burrell,Dennis Rodman,1997-98,CHI
Scott Burrell,Bill Wennington,1997-98,CHI
Dickey Simpkins,Dennis Rodman,1997-98,CHI
Dickey Simpkins,Bill Wennington,1997-98,CHI
Dennis Rodman,Bill Wennington,1997-98,CHI
Brent Barry,Bill Wennington,1998-99,CHI
Brent Barry,Charles R. Jones,1998-99,CHI
Brent Barry,Cory Carr,1998-99,CHI
Brent Barry,Corey Benjamin,1998-99,CHI
Brent Barry,Toni Kukoc,1998-99,CHI
Brent Barry,Andrew Lang,1998-99,CHI
Brent Barry,Mark Bryant,1998-99,CHI
Brent Barry,Kornel David,1998-99,CHI
Brent Barry,Mario Bennett,1998-99,CHI
Brent Barry,Ron Harper,1998-99,CHI
Brent Barry,Rusty LaRue,1998-99,CHI
Brent Barry,Randy Brown,1998-99,CHI
Brent Barry,Dickey Simpkins,1998-99,CHI
Brent Barry,Keith Booth,1998-99,CHI
Bill Wennington,Charles R. Jones,1998-99,CHI
Bill Wennington,Cory Carr,1998-99,CHI
Bill Wennington,Corey Benjamin,1998-99,CHI
Bill Wennington,Toni Kukoc,1998-99,CHI
Bill Wennington,Andrew Lang,1998-99,CHI
Bill Wennington,Mark Bryant,1998-99,CHI
Bill Wennington,Kornel David,1998-99,CHI
Bill Wennington,Mario Bennett,1998-99,CHI
Bill Wennington,Ron Harper,1998-99,CHI
Bill Wennington,Rusty LaRue,1998-99,CHI
Bill Wennington,Randy Brown,1998-99,CHI
Bill Wennington,Dickey Simpkins,1998-99,CHI
Bill Wennington,Keith Booth,1998-99,CHI
Charles R. Jones,Cory Carr,1998-99,CHI
Charles R. Jones,Corey Benjamin,1998-99,CHI
Charles R. Jones,Toni Kukoc,1998-99,CHI
Charles R. Jones,Andrew Lang,1998-99,CHI
Charles R. Jones,Mark Bryant,1998-99,CHI
Charles R. Jones,Kornel David,1998-99,CHI
Charles R. Jones,Mario Bennett,1998-99,CHI
Charles R. Jones,Ron Harper,1998-99,CHI
Charles R. Jones,Rusty LaRue,1998-99,CHI
Charles R. Jones,Randy Brown,1998-99,CHI
Charles R. Jones,Dickey Simpkins,1998-99,CHI
Charles R. Jones,Keith Booth,1998-99,CHI
Cory Carr,Corey Benjamin,1998-99,CHI
Cory Carr,Toni Kukoc,1998-99,CHI
Cory Carr,Andrew Lang,1998-99,CHI
Cory Carr,Mark Bryant,1998-99,CHI
Cory Carr,Kornel David,1998-99,CHI
Cory Carr,Mario Bennett,1998-99,CHI
Cory Carr,Ron Harper,1998-99,CHI
Cory Carr,Rusty LaRue,1998-99,CHI
Cory Carr,Randy Brown,1998-99,CHI
Cory Carr,Dickey Simpkins,1998-99,CHI
Cory Carr,Keith Booth,1998-99,CHI
Corey Benjamin,Toni Kukoc,1998-99,CHI
Corey Benjamin,Andrew Lang,1998-99,CHI
Corey Benjamin,Mark Bryant,1998-99,CHI
Corey Benjamin,Kornel David,1998-99,CHI
