source,target,season,team
Acie Law,Joakim Noah,2009-10,CHI
Acie Law,Joe Alexander,2009-10,CHI
Acie Law,James Johnson,2009-10,CHI
Acie Law,Jannero Pargo,2009-10,CHI
Acie Law,Hakim Warrick,2009-10,CHI
Acie Law,Flip Murray,2009-10,CHI
Acie Law,Derrick Rose,2009-10,CHI
Acie Law,Devin Brown,2009-10,CHI
Acie Law,Brad Miller,2009-10,CHI
Acie Law,Chris Richard,2009-10,CHI
Acie Law,Taj Gibson,2009-10,CHI
Acie Law,Lindsey Hunter,2009-10,CHI
Acie Law,Luol Deng,2009-10,CHI
Acie Law,Kirk Hinrich,2009-10,CHI
Joakim Noah,Joe Alexander,2009-10,CHI
Joakim Noah,James Johnson,2009-10,CHI
Joakim Noah,Jannero Pargo,2009-10,CHI
Joakim Noah,Hakim Warrick,2009-10,CHI
Joakim Noah,Flip Murray,2009-10,CHI
Joakim Noah,Derrick Rose,2009-10,CHI
Joakim Noah,Devin Brown,2009-10,CHI
Joakim Noah,Brad Miller,2009-10,CHI
Joakim Noah,Chris Richard,2009-10,CHI
Joakim Noah,Taj Gibson,2009-10,CHI
Joakim Noah,Lindsey Hunter,2009-10,CHI
Joakim Noah,Luol Deng,2009-10,CHI
Joakim Noah,Kirk Hinrich,2009-10,CHI
Joe Alexander,James Johnson,2009-10,CHI
Joe Alexander,Jannero Pargo,2009-10,CHI
Joe Alexander,Hakim Warrick,2009-10,CHI
Joe Alexander,Flip Murray,2009-10,CHI
Joe Alexander,Derrick Rose,2009-10,CHI
Joe Alexander,Devin Brown,2009-10,CHI
Joe Alexander,Brad Miller,2009-10,CHI
Joe Alexander,Chris Richard,2009-10,CHI
Joe Alexander,Taj Gibson,2009-10,CHI
Joe Alexander,Lindsey Hunter,2009-10,CHI
Joe Alexander,Luol Deng,2009-10,CHI
Joe Alexander,Kirk Hinrich,2009-10,CHI
James Johnson,Jannero Pargo,2009-10,CHI
James Johnson,Hakim Warrick,2009-10,CHI
James Johnson,Flip Murray,2009-10,CHI
James Johnson,Derrick Rose,2009-10,CHI
James Johnson,Devin Brown,2009-10,CHI
James Johnson,Brad Miller,2009-10,CHI
James Johnson,Chris Richard,2009-10,CHI
James Johnson,Taj Gibson,2009-10,CHI
James Johnson,Lindsey Hunter,2009-10,CHI
James Johnson,Luol Deng,2009-10,CHI
James Johnson,Kirk Hinrich,2009-10,CHI
Jannero Pargo,Hakim Warrick,2009-10,CHI
Jannero Pargo,Flip Murray,2009-10,CHI
Jannero Pargo,Derrick Rose,2009-10,CHI
Jannero Pargo,Devin Brown,2009-10,CHI
Jannero Pargo,Brad Miller,2009-10,CHI
Jannero Pargo,Chris Richard,2009-10,CHI
Jannero Pargo,Taj Gibson,2009-10,CHI
Jannero Pargo,Lindsey Hunter,2009-10,CHI
Jannero Pargo,Luol Deng,2009-10,CHI
Jannero Pargo,Kirk Hinrich,2009-10,CHI
Hakim Warrick,Flip Murray,2009-10,CHI
Hakim Warrick,Derrick Rose,2009-10,CHI
Hakim Warrick,Devin Brown,2009-10,CHI
Hakim Warrick,Brad Miller,2009-10,CHI
Hakim Warrick,Chris Richard,2009-10,CHI
Hakim Warrick,Taj Gibson,2009-10,CHI
Hakim Warrick,Lindsey Hunter,2009-10,CHI
Hakim Warrick,Luol Deng,2009-10,CHI
Hakim Warrick,Kirk Hinrich,2009-10,CHI
Flip Murray,Derrick Rose,2009-10,CHI
Flip Murray,Devin Brown,2009-10,CHI
Flip Murray,Brad Miller,2009-10,CHI
Flip Murray,Chris Richard,2009-10,CHI
